,UHGDiscKeywordEvaluator_avg_accuracy,UHGDiscKeywordEvaluator_avg_num_kws,UHGDiscKeywordEvaluator_num,UHGDiscSentenceEvaluator_avg_accuracy,UHGDiscSentenceEvaluator_num,UHGGenerativeEvaluator_avg_bleu_4,UHGGenerativeEvaluator_avg_rouge_l,UHGGenerativeEvaluator_avg_kw_prec,UHGGenerativeEvaluator_avg_bert_score,UHGGenerativeEvaluator_avg_length,UHGGenerativeEvaluator_num,UHGSelectiveEvaluator_accuracy,UHGSelectiveEvaluator_num
Qwen/Qwen1.5-7B-Chat,0.5284116486509012,4.173896129157751,5141,0.5007877116975187,5078,0.00031709006811570553,0.07016790366432875,0.2049737916031376,0.6959194073682164,71.79867730013616,5141,0.4417428515852947,5141
THUDM/glm-4-9b-chat,0.5154810533433365,4.173896129157751,5141,0.507035175879397,4975,0.0001822035311174526,0.07510212407178028,0.34618750492744266,0.6932253418115298,58.56078583933087,5141,0.4779225831550282,5141
meta-llama/Meta-Llama-3.1-8B-Instruct,0.4881031113087137,4.173896129157751,5141,0.4948390267879086,4069,3.141113989251158e-06,0.02365395116280267,0.15668611788758968,0.44612096542515334,22.796537638591715,5141,0.5160474615833496,5141
